,Name,Discounted Price,Market Price,Ratings,Processor,Ram,OS,Hard Disk,Display,Spec1,Spec2,Spec3,Spec4,Spec5,Spec6,Spec7
3,Dell Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,"₹38,606",N/A,4.3,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,Microsoft Office Home and Student 2019,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",,,,,
4,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,"₹56,990","₹79,999",4.5,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"Acer Collection, Acer Product Registration , Quick Access, Acer Care Center",1 Year International Travelers Warranty (ITW),,,,,
5,HP 15s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-du2078TU Thin and Light Laptop,"₹52,990","₹53,751",4.5,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,1 Year Onsite Warranty,,,,,
6,Asus VivoBook 14 Ryzen 5 Quad Core 2nd Gen - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK502T Thin and ...,"₹42,990","₹52,990",4.4,AMD Ryzen 5 Quad Core Processor (2nd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"Asus Giftbox, Asus Live Update",1 Year Limited International Hardware Warranty,,,,,
7,Dell Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light Laptop,"₹35,990","₹37,474",4.3,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home and Student 2019,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",,,,,
8,Dell Vostro Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light L...,"₹53,859",N/A,4.4,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home and Student 2019,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",,,,,
9,HP 14s Core i3 8th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14s-cs0001TU Thin and Light Laptop,"₹34,490","₹39,764",4.4,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home and Student 2019,1 Year Onsite Warranty,,,,,
10,HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,"₹59,990","₹61,934",4.4,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,,,,,,
11,HP Pavilion Gaming Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,"₹54,990","₹56,144",4.3,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,,,,,,
12,Lenovo Ideapad 3 Core i5 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,"₹43,990","₹61,490",3.8,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,1 Year Onsite Warranty,,,,,
