,Product_Name,Current_Price,Ratings,Discounts
1,Mi 4A PRO 80 cm (32) HD Ready LED Smart Android TV With Google Data Saver,"₹12,499",4.4,16% off
2,LG All-in-One 80cm (32 inch) HD Ready LED Smart TV,"₹14,999",4.3,34% off
3,Realme 80cm (32 inch) HD Ready LED Smart Android TV,"₹12,999",4.3,13% off
4,Vu Premium 80cm (32 inch) HD Ready LED Smart Android TV,"₹11,999",4.4,20% off
5,Thomson R9 80cm (32 inch) HD Ready LED TV,"₹8,499",4.2,43% off
6,Micromax 81cm (32 inch) HD Ready LED TV  with IPS Panel,"₹9,499",4.3,52% off
7,iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,"₹10,999",4.2,42% off
8,Thomson B9 Pro 80cm (32 inch) HD Ready LED Smart TV,"₹9,999",4.3,41% off
9,Samsung 80cm (32 inch) HD Ready LED TV,"₹12,499",4.4,16% off
10,Motorola 80.5cm (32 inch) HD Ready LED Smart Android TV  with Wireless Gamepad,"₹13,999",4.3,35% off
11,MarQ by Flipkart Innoview 80cm (32 inch) HD Ready LED TV,"₹8,999",4.3,32% off
12,MarQ by Flipkart Innoview 80cm (32 inch) HD Ready LED Smart Android TV  with TurboStream Box,"₹10,999",4.2,34% off
13,Samsung 80cm (32 inch) HD Ready LED Smart TV  with Voice Search,"₹14,999",4.6,28% off
14,Samsung 80cm (32 inch) HD Ready LED Smart TV,"₹14,499",4.5,27% off
15,Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,"₹22,500",4.3,N/A
16,Mi 4A Pro 108 cm (43) Full HD LED Smart Android TV With Google Data Saver,"₹21,999",4.4,15% off
17,Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,"₹20,499",4.4,18% off
18,Mi 4A 100 cm (40) Full HD LED Smart Android TV With Google Data Saver,"₹17,999",4.3,10% off
19,iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,"₹23,999",4.4,49% off
20,iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,"₹16,999",4.2,37% off
21,Realme 108cm (43 inch) Full HD LED Smart Android TV,"₹21,999",4.3,15% off
22,Motorola 109cm (43 inch) Ultra HD (4K) LED Smart Android TV  with Wireless Gamepad,"₹29,999",4.4,34% off
23,LG 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499",4.3,31% off
24,Motorola 107.6cm (43 inch) Full HD LED Smart Android TV  with Wireless Gamepad,"₹24,999",4.3,29% off
25,Blaupunkt GenZ Smart 109cm (43 inch) Full HD LED Smart TV,"₹18,499",4.1,48% off
26,Sony Bravia X7002G 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹50,499",4.4,24% off
27,Nokia 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with Sound by JBL,"₹31,999",4.5,39% off
28,Samsung 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,999",4.6,30% off
29,iFFALCON by TCL AI Powered K31 125.73cm (50 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,"₹26,999",4.4,54% off
30,LG All-in-One 126cm (50 inch) Ultra HD (4K) LED Smart TV,"₹44,999",4.3,35% off
31,iFFALCON by TCL 123.13cm (49 inch) Full HD LED Smart Android TV  with Google Voice Search,"₹24,999",4.3,39% off
